2000-01-15,18.5
2000-03-10,25.0
2000-06-21,37.8
2000-08-05,35.4
2000-12-30,22.1
2001-02-11,19.2
2001-04-18,28.6
2001-07-25,39.1
2001-09-14,33.7
2001-11-20,24.3
2002-01-05,17.9
2002-03-22,26.4
2002-06-30,40.5
2002-08-19,38.2
2002-12-12,21.6
2003-02-17,20.0
2003-05-09,30.7
2003-07-27,41.3
2003-09-03,36.9
2003-12-28,23.4
2004-01-13,16.8
2004-04-02,27.9
2004-06-18,42.0
2004-08-11,39.5
2004-10-25,29.1
2005-02-07,18.3
2005-05-14,31.2
2005-07-22,43.6
2005-09-30,37.4
2005-12-19,22.8
2006-01-09,15.5
2006-03-28,29.0
2006-06-15,44.2
2006-08-23,40.7
2006-11-05,26.9
2007-02-16,17.1
2007-04-20,30.5
2007-07-10,45.0
2007-09-18,38.8
2007-12-27,24.6
2008-01-22,16.3
2008-03-30,28.4
2008-06-12,43.9
2008-08-29,41.5
2008-11-14,27.2
2009-02-03,18.9
2009-04-25,32.1
2009-07-19,46.3
2009-09-07,39.9
2009-12-21,25.4
2010-01-17,17.6
2010-03-12,29.8
2010-06-25,44.8
2010-08-04,42.3
2010-10-30,30.0
